Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
166064000,0000021A,false,0,8,FE,36,12,FE,69,05,07,AD,
166064000,0000023A,false,0,8,00,37,00,12,00,00,00,00,
166064000,0000028C,false,0,8,00,00,00,00,00,00,F0,00,
166064000,0000022A,false,0,8,67,01,5E,1D,00,00,00,00,
166064000,0000027A,false,0,7,30,30,0D,8C,09,15,00,00,
166064000,0000029A,false,0,8,01,36,FE,00,00,00,00,00,
166064000,00000210,false,0,7,00,00,E3,1B,1C,86,FF,00,
166064000,0000000E,false,0,8,20,6F,3F,FF,08,FF,20,E7,
166064000,00000228,false,0,4,40,C0,30,F8,00,00,00,00,
166064000,000002AC,false,0,8,0F,00,33,90,00,00,D6,CE,
166064000,00000258,false,0,8,2F,C8,36,D8,46,05,00,8F,
166064000,000002AC,false,0,8,0F,00,33,90,00,00,D6,CE,
166064000,000002BC,false,0,8,3F,40,41,78,7E,64,00,00,
166064000,00000106,false,0,8,00,C0,00,00,FF,FF,00,C5,
166064000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166064000,00000116,false,0,6,00,10,F4,11,8E,BA,00,00,
166064000,00000102,false,0,6,09,96,D6,FF,D6,FF,00,00,
166064000,000002CC,false,0,8,AB,7D,00,00,00,00,00,00,
166064000,0000048C,false,0,1,00,00,00,00,00,00,00,00,
166064000,0000079C,false,0,8,02,00,40,03,40,03,20,00,
166074000,000002A2,false,0,7,00,00,11,96,00,10,70,00,
166074000,000003A8,false,0,8,30,30,31,00,03,00,00,00,
166074000,00000202,false,0,8,FD,5E,45,9D,C4,09,1E,2D,
166074000,000006F2,false,0,8,00,4E,33,D3,DC,34,3B,CD,
166074000,00000212,false,0,5,D8,00,12,71,00,00,00,00,
166074000,0000000E,false,0,8,20,6F,3F,FF,08,FF,30,2A,
166074000,00000222,false,0,7,00,00,11,96,00,10,70,00,
166074000,00000402,false,0,2,10,00,00,00,00,00,00,00,
166074000,00000232,false,0,4,05,24,68,82,00,00,00,00,
166074000,00000228,false,0,4,40,C0,40,F1,00,00,00,00,
166074000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
166074000,00000108,false,0,4,00,00,0F,25,00,00,00,00,
166074000,00000168,false,0,8,A9,0C,1C,7F,00,00,F0,A6,
166074000,000001F8,false,0,8,01,EF,F0,B6,D3,F7,00,00,
166074000,000002A8,false,0,8,00,00,00,00,00,00,00,1B,
166074000,000002DC,false,0,8,00,00,00,00,00,F1,00,97,
166074000,000002DC,false,0,8,00,00,00,00,00,00,00,00,
166074000,00000358,false,0,8,04,07,50,01,F0,00,00,30,
166074000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166074000,00000106,false,0,8,00,E0,00,00,FF,FF,00,E5,
166074000,00000116,false,0,6,00,10,F4,11,8F,BB,00,00,
166074000,00000102,false,0,6,16,96,D0,FF,CB,FF,00,00,
166084000,0000026A,false,0,3,FA,01,00,00,00,00,00,00,
166084000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166084000,00000228,false,0,4,40,C0,50,6C,00,00,00,00,
166084000,00000154,false,0,8,04,07,14,00,00,00,00,00,
166084000,00000106,false,0,8,00,00,00,00,FF,FF,00,05,
166084000,00000116,false,0,6,00,10,F4,11,80,AC,00,00,
166084000,00000102,false,0,6,FD,95,D1,FF,95,FF,00,00,
166084000,00000126,false,0,7,02,03,00,00,00,48,09,00,
166094000,0000000E,false,0,8,20,6F,3F,FF,08,FF,50,BE,
166094000,00000288,false,0,8,00,00,00,00,00,1B,00,00,
