ID,Data Bytes
0000021A,FE 36 12 FE 69 05 07 AD 
0000023A,00 37 00 12 00 00 00 00 
0000028C,00 00 00 00 00 00 F0 00 
0000022A,67 01 5E 1D 00 00 00 00 
0000027A,30 30 0D 8C 09 15 00 
0000029A,01 36 FE 00 00 00 00 00 
00000210,00 00 E3 1B 1C 86 FF 
0000000E,20 6F 3F FF 08 FF 20 E7 
00000228,40 C0 30 F8 
000002AC,0F 00 33 90 00 00 D6 CE 
00000258,2F C8 36 D8 46 05 00 8F 
000002AC,0F 00 33 90 00 00 D6 CE 
000002BC,3F 40 41 78 7E 64 00 00 
00000106,00 C0 00 00 FF FF 00 C5 
00000154,04 07 14 00 00 00 00 00 
00000116,00 10 F4 11 8E BA 
00000102,09 96 D6 FF D6 FF 
000002CC,AB 7D 00 00 00 00 00 00 
0000048C,00 
0000079C,02 00 40 03 40 03 20 00 
000002A2,00 00 11 96 00 10 70 
000003A8,30 30 31 00 03 00 00 00 
00000202,FD 5E 45 9D C4 09 1E 2D 
000006F2,00 4E 33 D3 DC 34 3B CD 
00000212,D8 00 12 71 00 
0000000E,20 6F 3F FF 08 FF 30 2A 
00000222,00 00 11 96 00 10 70 
00000402,10 00 
00000232,05 24 68 82 
00000228,40 C0 40 F1 
00000288,00 00 00 00 00 1B 00 00 
00000108,00 00 0F 25 
00000168,A9 0C 1C 7F 00 00 F0 A6 
000001F8,01 EF F0 B6 D3 F7 00 00 
000002A8,00 00 00 00 00 00 00 1B 
000002DC,00 00 00 00 00 F1 00 97 
000002DC,00 00 00 00 00 00 00 00 
00000358,04 07 50 01 F0 00 00 30 
00000154,04 07 14 00 00 00 00 00 
00000106,00 E0 00 00 FF FF 00 E5 
00000116,00 10 F4 11 8F BB 
00000102,16 96 D0 FF CB FF 
0000026A,FA 01 00 
00000154,04 07 14 00 00 00 00 00 
00000228,40 C0 50 6C 
00000154,04 07 14 00 00 00 00 00 
00000106,00 00 00 00 FF FF 00 05 
00000116,00 10 F4 11 80 AC 
00000102,FD 95 D1 FF 95 FF 
00000126,02 03 00 00 00 48 09 
0000000E,20 6F 3F FF 08 FF 50 BE 
00000288,00 00 00 00 00 1B 00 00 
000001F8,01 EF F0 C5 D2 F1 00 DE 
00000102,08 96 D6 FF 99 FF 
000002A8,00 00 00 00 00 00 00 1B 
00000228,40 C0 60 26 
00000154,04 07 14 00 00 00 00 00 
00000754,65 FD FF 00 00 00 00 00 
00000106,00 20 00 00 FF FF 00 25 
00000754,67 00 91 00 00 00 00 00 
00000754,66 00 00 00 00 00 00 F1 
00000754,66 00 00 00 00 00 00 00 
00000754,64 00 00 00 00 00 00 00 
00000368,00 5A 1F 00 00 08 00 FF 
